cycle,staked_tez,rewarded_tez,user,baker
752,4000.122144,5.145250,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
753,4000.368568,5.117257,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
754,4003.841532,3.959572,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
755,4008.934955,4.234738,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
756,4014.046869,4.167736,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
757,4017.708010,4.563899,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
758,4021.681487,4.490020,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
759,4025.370548,2.866913,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
760,4029.687700,3.414165,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
761,4033.962306,4.835817,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
762,4036.743010,4.984847,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
763,4040.003548,3.478566,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
764,4044.600687,4.351051,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
765,4049.475576,4.158212,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
766,4052.941674,4.219178,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
767,4057.282126,3.948155,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
768,4061.331580,5.837145,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
769,4065.342618,5.647304,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
770,4069.032715,3.897631,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
